Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,negativetail1,-1.0,-6.280986120240182,0.0,0.0,0.0,500/500,1.40%,TMEM8B;AMPD2;SKI;CBX7;PTGDR2;FXYD7;CASS4;RPS6KA5;Z98886.1;PID1;SCAP;NAP1L3;MARCKSL1;AC012645.1;SLC25A29;TMCC1;CAMK1D;MAP7;TIGD3;TCTN1;IL5RA;TMEM132E;PFN2;MT-CYB;TTC9;FCER1A;RNF44;MPP2;ADAMTS17;OLFM2;AC015917.2;RPLP2;CFD;SLC41A3;WNT7A;SUSD4;CABIN1;ARHGEF4;ZNF517;AC107068.1;MEGF6;EEF2;EIF3L;PCBP2;C2CD4D-AS1;TOM1L2;PITPNC1;TRBV18;AC114752.2;EIF4BP3;FUZ;CHST7;ZG16B;ETNK2;RPS23P8;LRIT3;MT-CO3;BMF-AS1;CNNM3;FBXL16;AP000442.1;CCNI2;CACNG6;SELENOM;VPS37C;NELL2;PDCD4-AS1;LINC01163;PRKDC;ABCC5;AC099494.2;CACNA2D3;SPRED1;ID3;CATSPER2;HRH4;FAM241B;LINC00243;ALDOC;PABPC1;CRYL1;NUTM2HP;EIF4B;ECRG4;EIF3CL;LINC00824;AL592166.1;CD1C;RPS4X;KLHL22;CACNG8;RPSAP58;LINC01259;NR3C2;TRAV17;CTSK;SERTAD2;ACKR3;SNORA62;AL357079.1;DTD1;AL035071.1;CPLX2;TSGA10;HCN3;RFPL2;CCDC141;HGSNAT;MTUS2;RPS4XP11;CRYGN;TRBV29-1;SNORA72;LINC02210;AC067838.1;NOP53;CCNI;SEMA7A;FOXJ2;VPS51;RTN1;AC009093.10;STAG3L3;MAPK8IP1;CERK;AC104809.2;RPL13P12;TMEM231;WDR86;ARHGAP35;GCNT4;AC020917.4;AC139720.1;PIANP;NUDT3;ADGRE4P;AL031282.2;HABP4;PPP1R9B;MT-ND4L;RPL38;AC008555.4;SGK1;ATG9B;AC087222.1;TRAF1;AC119673.3;CSDE1;RPL23A;MAN2B1;AC078785.1;AC015726.1;AC093642.2;AKT1;BX293535.1;ARL10;PATJ;NEIL2;RPL12P8;AL731702.1;FAM102A;LINC00336;DEPTOR;AC087500.1;P3H3;AC111000.4;PCNX2;AC009118.3;AC111170.3;STMN3;KIAA0355;AL359220.1;HYKK;VSIG1;AC008038.1;CAND2;AL109936.3;RPS12;ZBTB46;AL355488.1;AC010973.2;NAP1L2;PDE8A;RNA5SP111;FAM171A1;CLUAP1;AL513190.1;LMLN;ZNF853;RPL10;CASTOR2;NAAA;AC104118.1;MT-ND3;AC108463.3;RPL18;WDPCP;NACA;TRAJ1;PBXIP1;AC004890.2;LINC02848;TGIF1;AC015727.1;AC055733.5;ZNF248;MPZL1;THRA;ESM1;KISS1R;AL121935.1;AC007161.3;TOP1MT;RPL3;REEP6;LINC00920;PRSS33;RNF214;ZFYVE9;SUGCT;RPL10A;TBC1D3H;LINC00402;AC012645.4;SOAT2;SIN3B;AC134312.5;FP671120.5;MAP3K14;SPEF2;CCNY;RASGRF2;RPS3;RPL19;MAP3K9;TLE2;TUBB4A;KATNBL1;ARL17A;POLR1E;AL354793.1;GAL3ST4;CLCF1;LTB;ENHO;RPS4XP3;NFXL1;AGAP10P;AC004918.1;TGFBI;TCF7;AL034550.2;AC046185.3;CLC;AC015660.3;KDF1;RAB11FIP4;COL6A1;ZNF727;SPRYD3;FCGBP;AC084855.1;TMEM30B;LINC02019;RACK1;EEF1A1;RPL32;TRMO;ROBO3;ADGRE3;NPTXR;ZBTB12;NDRG2;ZDHHC11B;P2RY10;RPS16;EPHX2;TEF;HVCN1;AXIN2;AC015813.6;AF001548.2;MORC4;RPL23AP42;ZNF419;AC012615.3;ZNF343;SPNS3;HSD11B1L;ZNF629;SEPTIN9;ACVR2B;KCNC4;IRGM;SNED1;TRAV27;ZNF362;TRAJ3;RFLNB;LY6G5B;AL080317.2;PAQR7;RNU6-322P;SPINT1-AS1;AC106037.2;NR1D1;AC100786.2;FBL;NCMAP-DT;AC129492.1;NLGN2;AP000759.1;ADAMTS10;GPA33;AC136624.1;IPO5P1;SLC7A8;RPL10P16;LINC00649;IFNL1;EEF1D;PITPNM1;ZNF204P;TMIE;CERNA1;AC105036.2;ZNF239;RPL3L;SLC48A1;APBA1;PROC;USP13;AC091133.7;STXBP4;AC011498.7;PLEKHB1;HNRNPA1L2;IQCK;CD4;STAM;FAM168B;RPL13A;RPL13;ISM1;SCARNA12;ENO2;RPS28;LOXL1-AS1;NOG;COPDA1;HKDC1;SIN3A;RAB40B;USP7;RPL7A;ADIRF-AS1;MAL;DIP2C;PRXL2B;RPS20P10;OLIG2;FAM85B;AC016582.3;AL031847.2;EIF4BP6;SERBP1P3;APBA2;PECAM1;LYPD6B;OAZ2;MAFF;RPL22;PAQR8;PHF20;RPL4;AC040160.1;ACACB;CREBL2;TESPA1;NAP1L4P3;PTAFR;NXPH4;GPC4;AC093330.1;FAM120C;ZNF395;ADAMTS5;C11orf45;COL5A2;PMP22;CD40LG;GPR162;TRBV5-1;ABHD14B;KIT;CIC;AC007663.1;TRBV19;IL2RA;SPIRE1;RPS23;PLA2G7;CCL28;MDS2;ZBTB42;HDAC2-AS2;TRAV12-1;RPS2;AP001107.9;CCN3;KSR1;CCR8;RPL10P3;NSG1;TCP11L2;MT-ND2;ZNF514;ZNF773;CEROX1;EIF3C;ZCCHC18;YY1;RPL4P4;AC044787.1;AL355310.2;NME2P1;CCDC84-DT;FLT1;CTSF;INPP4B;CIRBP;ALOX15P1;RPS25;RPL7AP6;RPL37A;RNF216;Z84492.1;POU6F1;IL16;AL591848.3;NUBPL;PHF13;SEMA4C;CRB3;ASB13;IFNL3P1;CNN2P9;BANP;IL1RAP;RCAN3;EEF1A1P5;AC005696.4;COQ8A;RSPH10B2;ZNF793;ACSF2;DLEC1;LARGE2;IMPDH2;RIPOR1;KCTD7;CD200R1;LAYN;RPL7AP66;AC005332.5;RPL29P11;EIF3D;PLEKHG3;RHOXF1P1;LINC01962;RBM26-AS1;DDX11L9;SIGLEC17P;DAP3P2;LIX1L;EIF3F;SMPD3;RMND5A;RPL13AP7;TRBV20-1;AL161729.4;ESYT1;EIF4BP7;AMIGO1;ERF;KLHL3;AC127521.1;MFNG;ZNRF3;MIR29B2CHG;AC011477.1;MYLK4;PPARD;CCDC191;RPS19;PJVK;CROCCP3;LFNG;BICDL1;MHENCR
prerank,positivetail1,0.9999999999999993,6.102422478252472,0.0,0.0,0.0,500/500,1.39%,CDC45;SLC26A8;CDCA5;SCN1B;BUB1;KIFC1;CDC20;NAIPP1;PLK1;E2F1;MYBL2;CDC6;AC103810.3;C1QC;C1QB;C1QA;MCM10;PLD1;DPRXP2;CCNB2;IKBKG;TPX2;CCNB1;CDC25A;AC096970.1;MKI67;BATF;SCO2;EPSTI1;LINC02384;H4C8;UBE2C;AL021707.6;BRCA1;RRM2;FOXM1;GADD45B;SKA1;PSTPIP2;UTS2;CNIH4;CDHR5;AL662797.2;AC021097.1;NTNG2;IGHV3-21;SMPD5;CCDC71L;TCEAL9;TBKBP1;B4GALT5;KIF4A;NRIR;SPATC1;HK3;U62317.4;ODF3B;PKMYT1;AL031777.2;GINS1;GDPD3;SPAG5;MS4A4A;LMNB1;RAB24;CENPA;CDT1;REC8;H2BC21;FERMT3;TRIM6;AC138150.2;AC109322.1;DHCR24;BIRC5;IFI44L;H4C4;CASP1;LY6E;MYBPC3;IFI44;OR2B6;UCHL1;XAF1;RIPK3;ADCY4;TK1;CEACAM1;IL27;NFE4;ABCA2;MAFG;TIMM10;C19orf84;AC068580.1;RTEL1P1;ESCO2;PLSCR1;SPTLC2;MOB3C;TMEM150B;DBN1;BRCA2;AP003392.3;IGLV1-44;RTP4;GINS2;RAD54L;CHAF1A;CHEK1;GTPBP2;AL691447.2;DIAPH3;CKAP2L;AC243772.2;CARD17;GPR141;HMMR;RHOBTB1;KLHDC8B;CCRL2;AC005262.2;LINC00487;IGLV3-19;TYMS;RARA-AS1;AL390066.2;IGKV1D-12;RMI2;LINC00937;DTL;H2BC6;E2F8;LOXHD1;H2BC15;TRPM2;NAIP;KIF18B;CENPM;ZBP1;CA12;AIM2;IGLV1-47;AP001830.1;FBXL13;ATP5MFP4;NCAPG;SIGLEC1;NMRAL2P;AC104162.2;NEK2;MIR5194;IFI16;AL353759.1;IRF7;CARD16;GMNN;EIF1B-AS1;IFITM1;AL133517.1;KIFC3;CCDC17;RAB20;IGHV2-5;AP003086.3;CEP55;KIF2C;MOV10;AC093159.1;VAMP5;BX640514.2;KIAA1958;CST7;GAS6;TRIM38;GTPBP1;DHFR;OSM;U62317.1;NPW;FBXO6;TROAP;SLC23A1;TMEM92;ADAMTSL4-AS2;G0S2;AC093884.1;TRIM25;SHISA5;AC126474.1;BTN2A2;H2BC18;IGLV4-69;PCP2;KPTN;AL021707.1;AC009948.4;TBC1D8;PARP10;LINC00887;SPATS2L;TICRR;EIF2AK2;CCNA2;IL18R1;UHRF1;TTK;UTS2R;PCLAF;TRIM22;KMT5A;POC1A;CLN3;IGLV3-9;RRBP1;ADAMTSL4-AS1;IGLV1-40;CEL;PTPRU;FBXO39;MROCKI;NEU1;AL671883.3;TLR8-AS1;LINC02649;MT1F;AC131392.2;AGRN;CENPF;ZFPL1;LRWD1;PRR11;PPIAP29;GLRX;CDKN1A;IGLV4-60;COPG1;OAS1;IGHV4-59;FNDC3B;SLCO4A1;RUFY4;CLSPN;IFI6;KCND1;HELLS;ANLN;TOP2A;UBE2S;DDIT3;CDCA3;BUB1B;OASL;IGKV1-9;IGLV9-49;AURKB;MARCKS;ARHGAP23;IFITM3;AC080112.5;OAS3;H2BC5;IGHV3-15;MDK;KIF11;NCAPH;DLGAP5;HMGB3P4;IGHV4-39;LDHA;AC005840.4;ANKRD22;SAMD9L;PARP9;AC069528.2;CREM;TPST2;MTCO2P11;TAP1;LARP1P1;SIAH2-AS1;ORC1;LDLR;CINP;POU5F2;MCM4;AC097376.3;CTSA;TWIST2;DHX58;SPATA20;BAK1;KIAA0895L;AL021807.1;AC009951.4;SOCS1;ABCA7;SLC26A6;APOBEC3H;DYNLT1;EPHB2;SHCBP1;AURKA;UGCG;CCNE2;MXD3;H2BC4;TMEM260;OAS2;OR52K1;CHMP5;HGF;PHACTR1;H2BC7;PHTF1;SHROOM1;AP003086.1;STARD4;KIF15;RPH3A;C7orf61;SERPING1;PTTG1;ALAS1;METTL7B;ZNRF2P2;SLC24A4;AC108704.1;GTSE1;CARMIL3;CDCA8;UPP1;HJURP;SKA3;RN7SL600P;CDK1;SQOR;PARP12;BCL2A1;IGHV5-51;DDAH2;NAIPP2;CDCA2;CGAS;AL021707.7;CMPK2;GCH1;MAPK14;S100A8;APOL6;CMTM1;AC026401.2;DDX60;PIF1;GM2A;PLAC8;NT5C3A;AL162377.3;FRMD3;HERC6;FAM209B;IFI35;AC019254.1;TYMP;DUSP13;GALR2;PINLYP;TDRD9;KIF23;AC017116.2;LINC02656;MELK;PSAT1;EGF;GBP1;PRAL;MED12L;AL133467.1;SP140;ZCCHC2;AC245884.11;MIR320E;CLU;SAMD9;TOMM40L;SPATA20P1;SERPINE1;FADS1;SLC49A3;SLC3A2;IFIT5;MAP2K6;AP5B1;AC025682.2;FCAR;AUNIP;IFIH1;RN7SL473P;SPC25;PCYT1B;ARMC7;CASP5;AC068722.2;IFIT3;BATF2;PATL1;GLDC;SLC22A16;IGKV2-24;FCGR1B;ANXA3;DEPDC1;HNRNPMP1;MIR3945HG;RPS3AP43;CYTOR;TRIM69;RAD51;H2AC15;DDX60L;AC021321.2;CNP;AC020658.5;AC105415.1;RECQL4;RNF213;SHFL;IGF2BP3;LILRB4;AP003119.1;RHBDF2;LBX2;LINC02709;APBB3;H2BC8;MTHFD2;DRC1;GBA;ITGA7;AC243772.3;ZC3H12A;DUSP5;IGHV3-64D;RNASE2;HPN;WSB1;AC136475.7;MTND5P32;CLEC2B;AC012363.2;TRIP13;BST2;AC106028.3;AL136295.2;FABP5P2;IFI27L2;APOBEC3A;MPZ;LINC02086;AC092745.4;KIAA1841;RN7SL587P;TRIB1;MFSD14B;DSCC1;CD70;CTSD;SNAI1;TBC1D2;RNASE1;PPARG;AP001610.2;AC068299.2;BCRP3;DISC1;CFLAR-AS1;CDK5RAP2;ZNF812P;RSAD2;SELL;CD14;FAM20A;IGLV2-18;MX1;S100A9;EZH2;H2AC6;IGKV1-27;IGHV3-11;EFCAB2;CRYBG2;SP100;NMI;AC092755.2;RPL39P36;CSRNP1;AC007613.1;POLQ;AC145207.8;H4C2
prerank,positivetail2,0.8271479858520725,5.080097313673505,0.0,0.0,0.0,386/500,10.57%,CDC45;CDCA5;BUB1;KIFC1;CDC20;PLK1;E2F1;MYBL2;CDC6;MCM10;CCNB2;TPX2;CCNB1;CDC25A;MKI67;SCO2;EPSTI1;H4C8;UBE2C;RRM2;FOXM1;SKA1;NTNG2;IGHV3-21;KIF4A;PKMYT1;AL031777.2;GINS1;SPAG5;CENPA;CDT1;BIRC5;LY6E;OR2B6;UCHL1;RIPK3;TK1;TIMM10;ESCO2;IGLV1-44;GINS2;RAD54L;CHEK1;CKAP2L;CARD17;HMMR;RHOBTB1;KLHDC8B;IGLV3-19;TYMS;DTL;H2BC6;E2F8;H2BC15;KIF18B;CENPM;IGLV1-47;AP001830.1;NCAPG;NEK2;GMNN;IFITM1;CEP55;KIF2C;GAS6;DHFR;U62317.1;FBXO6;TROAP;TMEM92;ADAMTSL4-AS2;SHISA5;KPTN;TICRR;CCNA2;UHRF1;TTK;PCLAF;IGLV3-9;IGLV1-40;NEU1;CENPF;IGLV4-60;SLCO4A1;CLSPN;KCND1;ANLN;TOP2A;UBE2S;CDCA3;BUB1B;IGKV1-9;IGLV9-49;AURKB;ARHGAP23;IFITM3;H2BC5;IGHV3-15;MDK;KIF11;NCAPH;DLGAP5;TAP1;ORC1;MCM4;BAK1;SHCBP1;AURKA;OR52K1;KIF15;PTTG1;GTSE1;CDCA8;HJURP;SKA3;CDK1;SQOR;CDCA2;PIF1;PLAC8;FRMD3;KIF23;MELK;AL133467.1;SPC25;AC068722.2;GLDC;SLC22A16;IGKV2-24;DEPDC1;RAD51;RECQL4;RHBDF2;APBB3;H2BC8;GBA;RNASE2;TRIP13;IFI27L2;DSCC1;IGLV2-18;EZH2;POLQ;SEPTIN4;HPDL;PBK;CDKN2A;DEPDC1B;CD38;UBE2T;LY6G6C;IGKV1-39;CKS2;FABP5;CHPF;PSMB8;ZWINT;NDUFAF1;IGLV2-23;MIR4435-2HG;IL15RA;MYL6B;FSTL3;MAD2L1BP;ASPM;IGLV3-16;IGHV1-18;PYCR1;IGHV3-53;IGKV4-1;H3C8;SCD;KIF18A;EXO1;IGLV1-36;AC116353.5;EMC7;IGHV1-69;WDR62;CCNE1;IGKV1-8;KPNA2;IFI27L1;TRIM21;HPSE;BRI3;SMARCD3;COPB2;TNNT3;CDKN3;TXNDC11;IGHD3-3;CDC25C;IGLV7-43;EME1;H2AC18;H3C7;SPC24;IGLJ1;IGLC2;IGKC;FEN1;SLC25A10;PTK2B;MZB1;IGLV2-11;ESPL1;ARHGAP11A;H2AX;HASPIN;PDIA4;GGH;ASPHD2;ERP44;IGKV3-20;LMAN2;ELL2;EDEM2;CENPW;MIXL1;PIMREG;GPRIN1;WNT5B;IGHV3-30;IGHV1-24;PDCD1LG2;TUBA1C;PTGES3P1;ELOVL3;NDC80;CTRL;IGHV3-33;KIF20A;IGHV3-66;EGFL7;ESAM;DNAJB11;POLE2;BHLHA15;IGKV1-33;FKBP11;USF1;SLC1A4;SEMA3B;AC084018.4;IGLV2-14;CCNF;SAPCD2;TXNDC5;MND1;PIWIL4;LINC02576;DERL3;OIP5;KIR2DS4;IRF4;HTRA2;IGKV1D-39;TUBG1;POU2AF1;H2BC12;C3AR1;NT5DC2;H4C9;KNL1;PCNA;CMTM5;XBP1;LINC01484;BIK;CENPN;KDELR3;IGLV2-5;PDGFA;SDF2L1;IGLV10-54;NUF2;LAMC1;H3C3;IGKV2D-26;MANF;MCM2;OXCT2;CRELD2;IGLL5;H2BC17;WDR34;HMGB3;IGKV1D-16;CHST8;KIF14;IGHV6-1;MYDGF;ITGB5;AC116353.6;BFSP2;PPIB;DHRS9;HSP90B1;IGLV3-25;ZDHHC12;RELA-DT;ACRBP;IGLV2-8;AC012236.1;UPB1;GP6;SDC1;B9D1;PLAAT2;SLC22A31;FBXO16;STMN1;ANKRD34B;AC007556.1;ALOX12;COX6A1;PTCRA;DECR1;IGKV1-5;IGKV3OR2-268;PDIA5;AL353807.5;IGKV2-28;CIT;PRDX4;CARD19;DEPP1;AL355922.1;SLC25A4;IGKV1-12;IGHV4-34;IGHV1-2;B4GALT2;MPDU1;SRA1;SELP;TARM1;CU639417.1;CAV1;SPATS2;IGLV3-22;PRKAG1;JCHAIN;ACOXL;NME1;IGF1;TOR1A;ITM2C;IGLV1-51;TSHR;RPL35AP26;MILR1;IGKV1D-8;STX10;AC009570.2;AC092718.4;SLC35B1;IGLC3;IGHV4-28;TRAIP;SDHB;HLA-E;MED8;SCNN1B;ARFGEF3;LINC02280;TMEM45A;CETP;LINC00528;CALHM5;STIL;AC010719.1;AC090587.1;PIPOX;RILPL2;SEC11C;IGKV1-6;KIF24;BAMBI;IGKV2-40;SLC2A5;EAF2;TNFRSF17;CHCHD2;LRRC75B
prerank,negativetail2,-0.5559399132400947,-3.447569976397425,0.0,0.0,0.0,226/494,14.70%,PTGDR2;FXYD7;CASS4;Z98886.1;PID1;AC012645.1;MAP7;FCER1A;MEGF6;C2CD4D-AS1;PITPNC1;TRBV18;ZG16B;ETNK2;FBXL16;CACNG6;VPS37C;CACNA2D3;LINC00824;CACNG8;CPLX2;TRBV29-1;RTN1;AC104809.2;ADGRE4P;PATJ;AC111000.4;VSIG1;NAP1L2;LINC02848;PRSS33;AC012645.4;AC134312.5;ENHO;AGAP10P;TGFBI;ADGRE3;NPTXR;NDRG2;ZDHHC11B;SNED1;SPINT1-AS1;IFNL1;SLC48A1;ISM1;OLIG2;AL031847.2;ADAMTS5;KIT;CCR8;IFNL3P1;RHOXF1P1;ZNRF3;ZNF703;SLC45A3;TRBJ1-4;PLEKHH2;AGAP14P;AC007922.5;PLEKHG5;AGAP7P;CCR4;AKAP12;C14orf132;KCNC3;TIFAB;BMP4;ALOX15;FBLN5;CACNA1I;PPP1R17;SERPINH1;RHOXF1P3;ACSL6;SIGLEC8;CPA3;RBFOX2;AC051619.4;EEF1A1P19;AL450043.1;AC009093.2;STXBP1;CAMK2N1;CRIP2;PABPC4-AS1;NYAP1;FOXP3;FGFR2;GATA3;FBXO27;GATA2;CLEC10A;TPPP;ACE;AL356215.1;TNR;AL159163.1;RNU6-920P;DNAI2;TRAV22;ZDHHC1;RPL34-AS1;TSPAN15;AL138778.1;TRBV11-1;AL136961.1;CA8;KCTD15;RN7SL75P;AL157777.1;GCSAML;FBXO2;FSIP2;RAPH1;SYT17;PARVA;LINC02458;RPGRIP1;EFHC2;GTF2IRD2;RHOXF1;AC099552.2;AL356489.2;NEURL1;RPL21P134;FIGNL2-DT;TRAV39;HPX;LYNX1;ZNF578;AC064836.3;TRIM2;TRAJ2;AC008608.1;SARDH;NRXN1;GRID1;AC099521.3;TPPP3;AC012313.2;WNT9A;CYSLTR2;SEZ6L;PTPRS;YBX1P10;HDC;RBP5;FBLN7;AC087854.1;AC069287.2;RNF207;PI16;EEF1A1P8;CXCL5;AC233968.1;SLC25A47P1;AC012254.1;EPN2;TRBV6-2;BEGAIN;AC100803.3;GSTA4;SIAH3;AC023906.1;TRBV7-2;CALY;SCGB3A1;AC074141.1;DST;RN7SL648P;KIRREL3;COX5BP6;KNDC1;AL391261.2;OCLN;AC069154.1;AC091948.1;KCNQ2;HIVEP2;PAM;CDKN1C;ASS1P1;RCAN3AS;PRR7-AS1;RNU6-1223P;LINC01237;AC138932.2;AL031009.1;CAT;COLEC12;MIR6080;LMNTD2-AS1;ZXDA;AC009226.1;AC011330.1;AL135978.2;AC021066.1;AJ239328.1;PROCR;AC093789.1;AC010240.3;AC233976.1;CNTN4-AS1;AL669918.1;AC244023.1;AC003070.1;RN7SL663P;AC023787.3;GPR82;MS4A2;ZSWIM5;GOLGA6L10;ZNF66;CD1E;AL021154.1;NRP1;AC093642.1;SLC5A4-AS1;AC022210.2;RBFOX3;PPP1R3G;CYP4F22;RNU6-856P;LYPD2;AC025040.2;WHRN
