	Tscore	pval
ABRAXAS1	-1.1781709631902855	0.25504683155864033
ABRAXAS2	0.30061725268900474	0.766622537909976
ABT1	-0.515881102658704	0.6126531011951425
ABT1P1	-1.0	0.34343639613791355
ABTB1	-0.10193284056047193	0.9198370807494797
ABTB2	0.46414784087533323	0.6458968857540074
AC000029.1	2.1930338528441427	0.03970475148347297
AC000029.2	0.15610106727533482	0.8776091635115814
AC000032.1	1.4127489707636702	0.16944540836863242
AC000035.1	-1.0	0.34343639613791355
AC000036.1		
AC000041.1	1.0000000000000002	0.32869468323646356
AC000050.1		
AC000050.3		
AC000058.1		
AC000061.1		
AC000065.1		
AC000065.2	-1.309307341415954	0.2228683501335202
AC000067.1		
AC000068.1	-0.3245910715464905	0.7492203674679112
AC000068.2	-0.7731192428473644	0.45443227523328067
AC000068.3	-0.4031598784843201	0.6938284295223776
AC000072.1	-0.4965635331614208	0.6278714687618405
AC000077.1		
AC000078.1	-0.6958716331135641	0.4989159222955941
AC000081.1	1.2264982650902287	0.2335862043248622
AC000081.2		
AC000082.1	0.37728434328676635	0.70963439045385
AC000085.1	1.3390684807869866	0.19315717878119576
AC000089.1	-0.48677509564614513	0.6340563605363645
AC000093.1	2.6278164620609727	0.01368325710638299
AC000095.1	0.9453055205487758	0.3521402735772178
AC000095.2		
AC000095.3	-0.21560306668347093	0.8324138082576968
AC000111.1		
AC000111.2		
AC000113.1		
AC000114.1		
AC000120.1	1.2669376139915607	0.21904892832043654
AC000120.2	2.0525914805325627	0.04909440436135919
AC000120.3	-0.5384615384615384	0.599915690246709
AC000120.4		
AC000123.1	-1.2456821978061	0.24433314386747898
AC000123.2	-0.3205165377920608	0.7541774063005358
AC000123.3	-0.5952267351798963	0.5579858260965442
AC000124.1		
AC000362.1		
AC000367.1	1.1876227352126731	0.24824192733890196
AC000372.1		
AC000374.1		
AC000403.1	1.7041783537394062	0.10290425234329711
AC001226.1	0.3114964536984164	0.7582521869029705
AC001226.2		
AC002044.1	0.3087620249958503	0.759661040578133
AC002044.2	0.33286638024251536	0.7417765688310342
AC002044.3		
AC002056.1	1.038656664644858	0.30910988971411285
AC002056.2	-1.0	0.34343639613791355
AC002057.1		
AC002057.2		
AC002059.1	-1.3414083900252876	0.2064028258771742
AC002059.2	-0.6755299295142743	0.5133071039751689
AC002059.3	-0.925848214564534	0.3784424705413797
AC002064.1		
AC002064.2		
AC002064.3		
AC002064.4		
AC002066.1		
AC002069.1		
AC002069.2	-0.6974441080079906	0.5014501369152408
AC002069.3		
AC002069.4		
AC002070.1	0.6244994322468309	0.5377461587127097
AC002072.1		
AC002073.1	1.3973939613090796	0.17688552620600542
AC002074.1	1.3881521141916804	0.17964264197100216
AC002074.2	1.0000000000000002	0.32869468323646356
AC002075.1		
AC002075.2	-1.3259555448675964	0.21189222585115972
AC002076.1		
AC002076.2		
AC002090.1		
AC002091.1	2.1247057010231805	0.04196515358684418
AC002091.2	0.11549693140324653	0.9088307448655476
AC002094.1	1.4476333553892506	0.16248485541505506
AC002094.2	-0.2994314777196701	0.7700035330644517
AC002094.3		
AC002094.4	-0.8568319894678602	0.4089989273592417
AC002094.5	1.0000000000000002	0.32869468323646356
AC002101.1		
AC002115.1		
AC002116.1	3.21010413863218	0.0031756877888453293
AC002116.2	-0.6712365792780394	0.5116055508423331
AC002127.1		
AC002128.1	0.7348442703103129	0.4682301069474003
AC002128.2		
AC002306.1		
AC002310.1	-0.7022745376852045	0.4978643707681134
AC002310.2	1.2157336353580106	0.2358983678637745
AC002310.3	0.29106721050084683	0.7741015702318516
AC002310.4	-0.9379235884338124	0.3676287530687762
AC002310.5	-1.0730934477106233	0.30992927251309327
AC002316.1	0.5765179708228436	0.5693279445755718
AC002331.1	1.0000000000000002	0.32869468323646356
AC002347.1	0.42205146644984964	0.676621054467173
AC002347.2	0.676379075338097	0.5041564545938264
AC002350.1	0.599639297804022	0.5532706236839396
AC002350.2	-0.0479806879004162	0.9623356725121835
AC002351.1		
AC002359.1	0.26398305534579636	0.7940382800015912
AC002365.1		
AC002366.1		
AC002368.1		
AC002375.1		
AC002377.1		
AC002378.1		
AC002381.1		
AC002383.1	-0.9999999999999998	0.34343639613791366
AC002386.1		
AC002395.1	1.0000000000000002	0.32869468323646356
AC002398.1		
AC002398.2	-0.4638064646865232	0.6504993474940768
AC002400.1		
AC002401.1	-0.9104268960106255	0.3770527713224934
AC002401.2		
AC002401.3		
AC002401.4		
AC002407.1		
AC002407.2	-1.063963088768655	0.31409249248674354
AC002416.1		
AC002428.1		
AC002428.2		
AC002429.1		
AC002429.2		
AC002451.1	0.2447540465331848	0.8090950382704197
AC002451.2		
AC002456.1	1.2205235199351456	0.23312414199820564
AC002456.2		
AC002458.1		
AC002460.1		
AC002460.2	-2.218972568160215	0.05038437374191305
AC002461.1		
AC002463.1		
AC002464.1	3.1198574179692886	0.004002456264966393
AC002465.1		
AC002467.1	2.2456053918044696	0.03284997250377483
AC002470.1	-0.8900063768215556	0.3898792437849814
AC002470.2	0.010291121575454506	0.9919279008547387
AC002472.1	-1.0	0.34343639613791355
AC002472.2	0.5380733330375602	0.5959380903738494
AC002472.3	1.0000000000000002	0.32869468323646356
AC002472.4		
AC002480.1	1.1959165187158547	0.24109827460398506
AC002480.2		
AC002486.1		
AC002486.2		
AC002487.1		
AC002504.1		
AC002511.1	2.411488090914447	0.02263285825905343
AC002511.2	2.93319908794619	0.006905081443119251
AC002511.3		
AC002519.1	0.4482840632189389	0.6603415553969765
AC002519.2	1.367949973030034	0.18578877096691362
AC002524.1	0.5490438371403022	0.5882598356959274
AC002525.1	-0.1580668463026307	0.876501256413581
AC002529.1		
AC002540.1		
AC002542.1		
AC002542.2		
AC002542.3		
AC002542.4		
AC002542.5		
AC002542.6	1.0000000000000002	0.32869468323646356
AC002543.1	-0.06726727939963123	0.9469446764811427
AC002543.2		
AC002545.1		
AC002546.1		
AC002550.1	1.5118492349163475	0.14146557560245157
AC002550.2	0.35239032905089923	0.7273471516681649
AC002551.1	-0.0765358777683647	0.9399018877166018
AC002553.1	-2.1243437195439734	0.05632994998847297
AC002553.2	0.1979562497906987	0.8451405573189085
AC002558.1	-0.7773795947918009	0.44792295929066794
AC002558.2	-0.9999999999999998	0.34343639613791366
AC002558.3	1.3781456021705856	0.18217879132027254
AC002563.1		
AC002980.1		
AC002981.1		
AC002984.1	1.0000000000000002	0.32869468323646356
AC002985.1	1.0000000000000002	0.32869468323646356
AC002996.1	1.2754452412315793	0.21608112595236023
AC003001.1		
AC003001.2		
AC003002.1		
AC003002.2	-0.19433090305041187	0.8490882850082714
AC003002.3		
AC003005.1		
AC003005.2	-0.9999999999999998	0.34343639613791366
AC003006.1		
AC003009.1		
AC003035.1	0.023643959065650578	0.9813990533253721
AC003035.2		
AC003043.1		
AC003043.2		
AC003043.3	-0.008574994310433487	0.9932228221623002
AC003044.1		
AC003045.1		
AC003070.1	-1.0927856752282559	0.2920930700653102
AC003070.2	-0.9781258757946046	0.35354701777591313
AC003070.7		
AC003071.1	-0.9398790618407419	0.36822653499875146
AC003071.2		
AC003072.1	2.2870105234450357	0.030327970230811067
AC003072.2	0.3429971702850176	0.734006636923729
AC003077.1		
AC003080.1	1.7382309679942822	0.09681302106717835
AC003084.1		
AC003086.1	-0.4925232070604786	0.6291832680014358
AC003087.1		
AC003092.1		
AC003092.2		
AC003093.1	1.7475296747389892	0.09515419414267992
AC003098.1		
AC003101.1	0.3899598712737327	0.6993573284925423
AC003101.2	-0.4417804174937408	0.6626225871144956
AC003101.3	-0.9420102754925789	0.3696597556019684
AC003102.1	-1.241035886502353	0.2386090135576393
AC003109.1		
AC003657.1		
AC003657.2		
AC003659.1		
AC003666.1	1.405963818265277	0.17435919851799603
AC003669.1		
AC003681.1	-0.15750578267004312	0.8768245266421094
AC003682.1	0.5046836724096	0.6181329781984268
AC003684.1		
AC003685.1		
AC003685.2		
AC003686.1		
AC003687.1		
AC003688.1		
AC003688.2	1.0000000000000002	0.32869468323646356
AC003688.3		
AC003950.1		
AC003956.1		
AC003957.1	-0.26267660728449466	0.7947840084830098
AC003958.1		
AC003958.2		
AC003965.1	-0.7103035084048421	0.493302276551016
AC003965.2	-1.0	0.34343639613791355
AC003973.1		
AC003973.2	-0.41495947218363194	0.6843345909413987
AC003975.1		
AC003982.1		
AC003984.1		
AC003985.1		
AC003986.1		
AC003986.2		
AC003986.3		
AC003988.1		
AC003989.1		
AC003989.2		
AC003991.1	0.6869323017687	0.4979432816543812
AC003991.2	-1.338205242463899	0.20838378354907877
AC003992.1		
AC004000.1	0.6493860444434568	0.522406653942673
AC004004.1		
AC004006.1		
AC004009.1		
AC004009.2	1.0000000000000002	0.32869468323646356
AC004009.3		
AC004012.1	1.0000000000000002	0.32869468323646356
AC004014.1		
AC004014.2		
AC004022.1		
AC004022.2		
AC004023.1		
AC004024.1	1.1495868675352543	0.26073159020704084
AC004034.1	1.5459113345331739	0.13544605102679047
AC004039.1		
AC004047.1	1.0000000000000002	0.32869468323646356
AC004052.1		
AC004053.1	1.458109345036364	0.15832068143560915
AC004054.1		
AC004057.1	-1.8052058736505217	0.10148314056191365
AC004062.1		
AC004063.1		
AC004066.1		
AC004066.2		
AC004067.1	-0.7750316852811545	0.4565675369420714
AC004069.1	0.867981768849943	0.3947794152450331
AC004069.2	1.1597836174113192	0.259153868381201
AC004069.3		
AC004074.1		
AC004076.1	1.0000000000000002	0.32869468323646356
AC004076.2	-0.49511595104315814	0.6265232902886795
AC004079.1		
AC004079.2	-1.244964552425093	0.23468847362853207
AC004079.3		
AC004079.4		
AC004079.5		
AC004080.1		
AC004080.10		
AC004080.11		
AC004080.12		
AC004080.13		
AC004080.14		
AC004080.15		
AC004080.16		
AC004080.17		
AC004080.2		
AC004080.3		
AC004080.4		
AC004080.5		
AC004080.6		
AC004080.7		
AC004080.8		
AC004080.9		
AC004083.1	1.4274928542926595	0.16814002359665448
AC004112.1		
AC004125.1		
AC004129.1		
AC004129.2		
AC004129.3	1.4096317851183786	0.1719472679724228
AC004129.4		
AC004130.1		
AC004130.2	-0.015280550728507829	0.9880153169925079
AC004134.1		
AC004147.1		
AC004147.2		
AC004147.3		
AC004147.4		
AC004147.5		
AC004148.1	-0.1200766425379196	0.9056104439216695
AC004151.1	0.5816772391902544	0.5664653148142627
AC004156.1	0.10794835456364528	0.915449089744732
AC004158.1		
AC004160.1		
AC004160.2		
AC004217.1	-1.0	0.34343639613791355
AC004217.2		
AC004221.1		
AC004223.1		
AC004223.2	1.214316802894915	0.23410925973633245
AC004223.3	-0.18217123447516206	0.8580784167463631
AC004223.4	1.1316306277824602	0.26702100261951406
AC004224.1	-0.30376637783533855	0.7653810614463745
AC004224.2	1.091123815660882	0.2875797880066872
AC004231.1	0.8770519222556152	0.3918413110344031
AC004231.3		
AC004232.1	-1.0914449505938655	0.30075893047283214
AC004232.2	-1.0794793370891613	0.30507105652949423
AC004233.1	-0.15059662413002944	0.8816602791547141
AC004233.2	1.6851304189930172	0.10286324232865766
AC004233.3	2.8520800923609126	0.00806540959864247
AC004241.1	3.183728019927642	0.0033778305564935275
AC004241.2	0.656482131775631	0.5196354224007881
AC004241.3	-0.06522896789467644	0.9484466152782763
AC004241.4	1.7019258867935265	0.10352892963639777
AC004241.5	1.3146024308216515	0.20282072741943968
AC004253.1		
AC004253.2		
AC004257.1	1.0000000000000002	0.32869468323646356
AC004263.1	1.289313876350043	0.2101177759558672
AC004263.2	1.9801635459331746	0.06069643705095844
AC004264.1	1.0000000000000002	0.32869468323646356
AC004264.2	0.7600349874546946	0.4546410811138514
AC004381.1	-1.2669714271546089	0.2279445265633826
AC004381.2		
AC004381.3	-1.465847746466197	0.15604525977677114
AC004381.4	0.904982837903981	0.37524325466338637
AC004383.1	-0.5717619165653959	0.5761512616247908
AC004386.1		
AC004386.2		
AC004386.3		
AC004386.4		
AC004386.5		
AC004386.6		
AC004386.7		
AC004408.1	-0.8196007165472176	0.42885667352701073
AC004408.2	-1.4178883656141303	0.18753110175235815
AC004415.1		
AC004448.1		
AC004448.2	1.0000000000000002	0.32869468323646356
AC004448.3	1.0000000000000002	0.32869468323646356
AC004448.4		
AC004448.5		
AC004449.1	0.48836843155900683	0.6289521980427227
AC004453.1	-2.177150207712574	0.045967833347238814
AC004453.2	-0.6965519996661882	0.4993821052739249
AC004461.1		
AC004461.2	-1.0	0.34343639613791355
AC004461.3	0.08634666158367388	0.9320788380104483
AC004464.1		
AC004466.1	-0.28555968080381505	0.7796775356332195
AC004466.2	-0.8886988630108882	0.39225554728427525
AC004466.3	0.5031061666255655	0.6186450203552739
AC004467.1		
AC004470.1		
AC004470.2		
AC004471.1	1.6756563321750726	0.10562341235739536
AC004471.2	0.044551362214712065	0.9649801807288045
AC004477.1	0.6869599533774051	0.49774293604086917
AC004477.2	1.2708341403518661	0.21361020043966955
AC004477.3	-0.7991368109905949	0.4373576591049654
AC004485.1		
AC004486.1	1.0000000000000002	0.32869468323646356
AC004490.1	0.6418584892300648	0.5271814375588788
AC004491.1	0.6464864312460142	0.5231484546754723
AC004492.1	-2.2469086240641563	0.042127192674210244
AC004494.1	-1.3838920177147955	0.19621775571073297
AC004494.2	-0.9862983608574818	0.3429992371300401
AC004510.1		
AC004522.1		
AC004522.2		
AC004522.3		
AC004522.4	1.0000000000000002	0.32869468323646356
AC004522.5	-1.0	0.34343639613791355
AC004522.6	0.465157317088315	0.6462378782658488
AC004528.1	1.1876227352126731	0.24824192733890196
AC004528.2	0.7665567676216717	0.44958217456790917
AC004540.1	1.9322152003257886	0.06359448518346238
AC004540.2	-0.900756534523686	0.3856764417203966
AC004542.1	-0.14887636883394884	0.883689763382308
AC004542.2	2.27478601107513	0.03153442318496275
AC004542.3		
AC004542.4		
AC004542.5		
AC004542.6		
AC004543.1		
AC004549.1		
AC004551.1	3.16994010456843	0.00412817416575929
AC004552.1	-1.8428616242995706	0.09370441723473825
AC004554.1	-1.0	0.34343639613791355
AC004554.2	0.6506259961642672	0.5208184894883897
AC004562.1		
AC004584.1	-1.373082905251795	0.20273820696750194
AC004584.2	1.0000000000000002	0.32869468323646356
AC004584.3	-0.15047883123246375	0.8823621650951211
AC004585.1	0.050919979222264294	0.960033801993387
AC004585.2	-1.0	0.34343639613791355
AC004590.1		
AC004593.1	-0.5980503604017327	0.5614476421011733
AC004593.2	-0.6101813864276784	0.5506227064414209
AC004594.1		
AC004596.1	3.01980415418932	0.006041864561336172
AC004597.1		
AC004623.1	-0.5632416144238122	0.5829286140985332
AC004637.1		
AC004664.1		
AC004672.1		
AC004672.2	1.0000000000000002	0.32869468323646356
AC004674.1		
AC004674.2		
AC004678.1	0.14423655810664435	0.8867249070093512
AC004678.2	-0.7543615953661964	0.46278228926807075
AC004687.1	1.2532095389046183	0.22178593301271915
AC004687.2	1.439930616622104	0.16179142207790764
AC004687.3	-0.8990863201828485	0.3909720738598508
AC004690.1		
AC004690.2		
AC004691.1	1.0000000000000002	0.32869468323646356
AC004691.2	1.0000000000000002	0.32869468323646356
AC004692.1	-0.06726727939963123	0.9469446764811427
AC004692.2		
AC004696.1	-1.0	0.34343639613791355
AC004696.2	1.0000000000000002	0.32869468323646356
AC004702.1		
AC004704.1		
AC004706.1	-0.711947329198604	0.4883735078010174
AC004706.2		
AC004706.3	0.2740240076457472	0.7882185041082295
AC004707.1	1.9962013261054992	0.05904150924811902
AC004707.2	-0.014425207282089994	0.9886544682553879
AC004765.1	1.0	0.32869468323646367
AC004771.1	0.7122452604130748	0.4838062651107775
AC004771.2	-1.2005454171525762	0.254263602490116
AC004771.3	1.5230057254600597	0.140229813875485
AC004771.4	0.41623014488999704	0.6802226134541435
AC004774.1		
AC004774.2		
AC004774.3		
AC004775.1	1.0000000000000002	0.32869468323646356
AC004777.1	-1.0	0.34343639613791355
AC004784.1		
AC004788.1		
AC004790.1		
AC004790.2		
AC004792.1		
AC004797.1	0.5032436056975272	0.6191141070128436
AC004801.1	0.9418959149810099	0.3559164937535154
AC004801.2	-0.12271073438218152	0.9035304095182385
AC004801.3	1.0000000000000002	0.32869468323646356
AC004801.4		
AC004801.5		
AC004801.6	0.8659366371317938	0.3976483991047509
AC004801.7	-1.405563856997455	0.19342205960333203
AC004803.1	-0.41866611224463113	0.6797842291547936
AC004805.1		
AC004805.2		
AC004805.3		
AC004808.1		
AC004808.2		
AC004812.1		
AC004812.2	-0.7958915216415827	0.43620580909644
AC004815.1		
AC004816.1	-0.2298393739757829	0.8215417469194295
AC004816.2	1.8637364388543554	0.07640216785687394
AC004817.1		
AC004817.2	-0.5980503604017327	0.5614476421011733
AC004817.3	1.4491376746189442	0.1620687119391624
AC004817.4	-0.17802738338971422	0.861079651413678
AC004817.5	0.7788769528153865	0.44239440035849875
AC004825.1		
AC004825.2	0.9548606185705294	0.3472799984807088
AC004825.3	0.26353943700291743	0.7945061608116325
AC004828.1		
AC004828.2	1.0000000000000002	0.32869468323646356
AC004830.1		
AC004830.2		
AC004832.1	1.4928608256889013	0.1490143860344967
AC004832.2		
AC004832.3		
AC004832.4	0.08841938934302983	0.9307327866453602
AC004832.5	1.283377895839496	0.21334196067522962
AC004832.6	1.848608735690535	0.07569728201170384
AC004834.1	1.235660004688158	0.22628839052354133
AC004835.1	0.31446500399265886	0.7553474260871557
AC004835.2		
AC004836.1		
AC004837.1		
AC004837.2	1.0000000000000002	0.32869468323646356
AC004837.3		
AC004837.4	-0.42029941967435136	0.6826402468572006
AC004839.1	0.2967292059049591	0.7687905425455025
AC004839.2	-0.9999999999999998	0.34343639613791366
AC004840.1	0.3421910427295494	0.734816504143804
AC004840.2	1.0000000000000002	0.32869468323646356
AC004846.1	0.1619248953601969	0.8727553803251704
AC004846.2	2.210146730178723	0.03511631912414245
AC004847.1	1.2921929460519175	0.21088125189002008
AC004849.1	-0.592795723236418	0.5637811299137493
AC004852.1		
AC004852.2		
AC004852.3		
AC004853.1		
AC004854.1	1.0	0.32869468323646367
AC004854.2	1.729974545688898	0.09582654418291782
AC004858.1	2.083691952256555	0.049591644756472916
AC004862.1		
AC004863.1		
AC004865.1		
AC004865.2	-0.6565707980068528	0.5185495407354892
AC004866.1		
AC004866.2		
AC004869.1		
AC004869.2		
AC004870.1		
AC004870.2		
AC004870.3		
AC004870.4		
AC004875.1		
AC004877.1	-0.6878871435314127	0.49795007826678617
AC004877.2	0.20227335566711466	0.8426203853992005
AC004879.1		
AC004879.2		
AC004882.1		
AC004882.2		
AC004882.3		
AC004882.4	-0.34814807973115275	0.7315509144215573
AC004884.1	-1.0867955432375116	0.3052938501668045
AC004884.2	-1.0	0.34343639613791355
AC004888.1	-1.0	0.34343639613791355
AC004890.1	2.590977136073552	0.016448166506578484
AC004890.2	-2.6980928982060908	0.014401661499051243
AC004890.3		
AC004893.1		
AC004893.2	0.864799432603018	0.3988557840429583
AC004893.3	0.7294623586670922	0.4715359266111394
AC004895.1	1.0000000000000002	0.32869468323646356
AC004898.1	0.3237942802091411	0.7495268990396444
AC004899.1		
AC004899.2		
AC004900.1	0.7972631062695352	0.43392047267402256
AC004908.1	1.454936452969363	0.16047264819764917
AC004908.2	-0.008549525723253707	0.9932469739494783
AC004908.3	-0.8992423994032243	0.38245004774421965
AC004909.1		
AC004910.1		
AC004911.1		
AC004912.1		
AC004917.1	0.8483811356770776	0.40294768330435116
AC004918.1	-2.6128558899525247	0.017920032205208297
AC004918.5	-1.8896647126208561	0.08158444421033031
AC004920.1		
AC004921.1	-0.3406883697603256	0.7377959128955389
AC004921.2	-0.49656353316142093	0.6278714687618403
AC004922.1	1.6650426562075347	0.10632049308661264
AC004923.1	-0.7858024548142045	0.4444227453883879
AC004923.2	-1.200201223390683	0.2573707004546316
AC004923.3		
AC004923.4	0.645286478583737	0.5259916563948009
AC004925.1		
AC004930.1		
AC004936.1		
AC004938.1		
AC004938.2	0.13942828884585304	0.8907440193271428
AC004941.1		
AC004941.2	0.33070545771731163	0.7461708315841576
AC004943.1	1.0671608794568452	0.2947262167151472
AC004943.2	-0.17448873040848992	0.8628906221744913
AC004943.3	1.0000000000000002	0.32869468323646356
AC004944.1		
AC004945.1		
AC004946.1		
AC004946.2		
AC004947.1		
AC004947.2	1.0000000000000002	0.32869468323646356
AC004947.3	2.1033105846543956	0.044111144468335646
AC004948.1	-0.6777645888087653	0.508119527115741
AC004949.1		
AC004951.1	-0.6203610654883617	0.5420495137362411
AC004951.2	0.2895203349980704	0.7766183196749636
AC004951.3	0.9228410418439008	0.3649247264589577
AC004951.4	-1.4495049935213442	0.17669798112431245
AC004965.1		
AC004966.1		
AC004967.1	-0.02180137335223089	0.9829702703322981
AC004967.2	-0.5018650206235659	0.622510954424915
AC004969.1		
AC004972.1	1.0000000000000002	0.32869468323646356
AC004973.1	1.0000000000000002	0.32869468323646356
AC004974.1	-0.31598168886454736	0.7559709592018063
AC004975.1	1.2264982650902287	0.2335862043248622
AC004975.2		
AC004980.1	-1.2473855136919334	0.22638982550826192
AC004980.2	-1.3245200623104265	0.21738690494197896
AC004980.3	-0.19956947796104182	0.8445867354968516
AC004980.4		
