	Tscore	pval
A1BG	-1.6739593552785663	0.12134649578394346
A1BG-AS1	-0.789992478724086	0.44390234756258695
A1CF	1.0258938363840275	0.3145361661789097
A2M	2.1285359228569902	0.04162255344072792
A2M-AS1	0.9996633179447443	0.33064124894382685
A2ML1	-0.09465636502824522	0.9256453910272572
A2ML1-AS1		
A2ML1-AS2	-1.0	0.34343639613791355
A2MP1	-1.0624647105090765	0.3130498993488993
A3GALT2	2.6736443870963185	0.01238872097129632
A4GALT	0.46472068597276817	0.6459412706394556
A4GNT	1.0000000000000002	0.32869468323646356
AAAS	0.5846290031565716	0.5669364278716121
AACS	-0.1300106836922851	0.898492116243125
AACSP1		
AADAC		
AADACL2		
AADACL2-AS1	1.0000000000000002	0.32869468323646356
AADACL3	1.0	0.32869468323646367
AADACL4		
AADACP1		
AADAT		
AAGAB	1.0372011811994757	0.3116063244349343
AAK1	-1.459624798855359	0.16369726517011823
AAMDC	1.3725743919329978	0.1801728708706819
AAMP	-1.139097250168464	0.27104455036819786
AANAT	0.45938849348349076	0.6497614652682554
AAR2	-0.5093081560097138	0.6183676137399496
AARD	1.3777093298939609	0.18221186557371358
AARS1	1.0004471855465231	0.33140167822580424
AARS1P1		
AARS2	-0.8606277772999642	0.40386544164957916
AARSD1	0.010341254993796314	0.9919043055690855
AASDH	0.943974021075779	0.35601886188492626
AASDHPPT	0.4677497437460044	0.6445488585997396
AASS	-1.0236540230912883	0.31771316580358927
AATBC	-0.9763558375038301	0.34742375793423497
AATF	0.2880733777746989	0.7753932588466437
AATK	1.2387877831705882	0.2264113368937285
ABALON	-0.2661689376881172	0.7923771937625498
ABAT	-1.5059220419704595	0.15556479227593395
ABBA01000933.1		
ABBA01000935.2	1.17106382964985	0.25104401071293325
ABBA01006766.1		
ABBA01010928.1		
ABBA01031658.1		
ABBA01031669.1		
ABBA01045074.1		
ABBA01045074.2		
ABCA1	2.0618370692167907	0.04809698750175216
ABCA10	0.04363738488791301	0.9657440411981177
ABCA11P	-2.260389286846944	0.04268575952770239
ABCA12		
ABCA13	1.8313707815813047	0.07910125916586506
ABCA17P	-1.1289750352207402	0.2825180114732081
ABCA2	4.39259474759168	0.00014431551384671342
ABCA3	-1.161974461499746	0.2677463771278131
ABCA4	1.7283511576181008	0.09860262466774564
ABCA5	-1.258071614151312	0.23335441071834276
ABCA6	-1.149945933417087	0.276432122078256
ABCA7	3.7551231743266036	0.0008001421040270654
ABCA8	1.0000000000000002	0.32869468323646356
ABCA9	-1.136449421282744	0.2828939563510017
ABCA9-AS1		
ABCB1	-0.9264930201168095	0.36656347349395657
ABCB10	1.4817766369201557	0.14969104317762924
ABCB10P1	-1.492311584432244	0.16981588527225291
ABCB10P3		
ABCB10P4		
ABCB11	2.8635035647027305	0.008570514122268981
ABCB4	-0.41192813685814156	0.6846235139014438
ABCB5	1.9438815846919897	0.06519539095822038
ABCB6	3.085367207560594	0.00455710019181583
ABCB7	-0.4072237084966253	0.6879019434434116
ABCB8	0.6522190396804057	0.5239927627973668
ABCB9	1.5988615442276681	0.12362869219204682
ABCC1	-1.2520059788440583	0.22400737045696034
ABCC10	0.08495012271481957	0.9331414884051701
ABCC11	1.7077888109646258	0.09932741034943617
ABCC12		
ABCC13	0.14185687295603588	0.888451516689494
ABCC2	2.049413624854759	0.04961030183523128
ABCC3	1.3798353049910195	0.1780904101695176
ABCC4	-0.06609656508632916	0.9482738273031768
ABCC5	-3.14162019912405	0.005699115661378193
ABCC5-AS1		
ABCC6	0.99992759256025	0.32535548298808536
ABCC6P1	1.8660478108112493	0.07581360801514575
ABCC6P2	-0.723434707851566	0.4841463809730231
ABCC8		
ABCC9		
ABCD1	2.105086467552992	0.044333705622362385
ABCD1P2	1.4491376746189444	0.16206871193916228
ABCD1P3	-1.0	0.34343639613791355
ABCD1P4		
ABCD1P5	1.0000000000000002	0.32869468323646356
ABCD2	-1.0968305790598567	0.2875075712810329
ABCD3	0.17266519616536602	0.8642896650915304
ABCD4	-0.16238142382939846	0.8730806486299133
ABCE1	-0.154196040948891	0.8790997367014974
ABCF1	-0.04962984458659866	0.960855103980262
ABCF2	-0.36899908110092805	0.7174095929605198
ABCF2	-0.5427588205026809	0.5970415875620503
ABCF2P1	-0.6340116545597306	0.5340039810822728
ABCF2P2		
ABCF3	-0.3072306776915321	0.762150074399211
ABCG1	0.9333820703223565	0.36035280938107594
ABCG2	-0.5413608218424538	0.5983538384226899
ABCG4	1.122913186850994	0.2741488270253817
ABCG5		
ABCG8	-0.9836366308829337	0.35098336912473305
ABHD1	-0.9038929110287472	0.3784183080411737
ABHD10	0.18803050221464868	0.8525198629519981
ABHD11	0.18910198046052568	0.8514563365860022
ABHD11-AS1	0.601768093594471	0.5527132416105813
ABHD12	0.5396685195720632	0.5948536739806807
ABHD12B	-0.6794504061257896	0.5108531842564472
ABHD13	0.5477868208262383	0.5882611176736369
ABHD14A	-0.42825044825677855	0.6740807513319916
ABHD14A-ACY1		
ABHD14B	-2.412768805679143	0.027913085942737302
ABHD15	-0.49198211074541837	0.6269739666200914
ABHD15-AS1	-0.96843835691382	0.35606413596715825
ABHD16A	2.7239830426294716	0.011521577175114286
ABHD16B	0.4809134671554545	0.6354340365210582
ABHD17A	0.03515673035547444	0.9723186090833384
ABHD17AP1	0.26973076485192904	0.7895418843874238
ABHD17AP3	1.813025650067979	0.08039688205166363
ABHD17AP4	-0.8153686699449637	0.4231337231183787
ABHD17AP5	-0.3400007044772643	0.739346580092852
ABHD17AP6	-1.3857276993071523	0.1940583222333411
ABHD17AP7		
ABHD17AP8		
ABHD17AP9		
ABHD17B	-0.10386134247738608	0.9180403067339913
ABHD17C	2.3871975202882347	0.02419910619974319
ABHD18	0.1890617141359703	0.8518181354893539
ABHD2	-2.036743594823286	0.06321303556201721
ABHD3	1.73214093028518	0.09376579974648287
ABHD4	1.2928828350835602	0.21096025449176412
ABHD5	0.9729256327700665	0.33964992709803343
ABHD6	-1.2124051668104125	0.240279635049376
ABHD8	0.8912011238851063	0.38713961354482185
ABI1	0.47490533069671736	0.6388106605372195
ABI1P1		
ABI2	-1.7097403829246547	0.10930904755201194
ABI3	1.145752411853745	0.26123621218953497
ABI3BP		
ABITRAM	1.2412781772361783	0.22486770489983657
ABITRAMP1	1.0000000000000002	0.32869468323646356
ABL1	-0.3065481868845555	0.7628596695518232
ABL2	2.23631780099834	0.03787891732224785
ABLIM1	-2.068000714116965	0.06158918670164633
ABLIM2	-2.1574458844729283	0.04440328679485108
ABLIM3	2.1557202905119897	0.0399775503685921
ABO	0.8140082636248751	0.4286737845348365
ABR	0.328226757758773	0.7465191827238923
ABRA		
ABRACL	-0.7791413850654818	0.4470065811247095
